,0
0,516.8855712660554
1,488.9566878603711
2,535.7933371978481
3,614.384762285207
4,697.3408596340032
5,594.3844076490544
6,540.1896966796447
7,502.09011583461455
8,586.1378961789981
9,622.9287015297532
10,468.5354353774391
11,216.29945458769075
12,736.1126944029054
13,644.3771959628967
14,568.1320488202718
15,618.563424921767
16,570.9376946136834
17,376.7589173969337
18,806.2945668277657
19,649.9611528694179
20,577.1063191156575
21,455.99483830795066
22,366.09394674524094
23,337.2185229727266
24,287.82630346978505
