,0
0,427601641.9433046
1,2893825772.874992
2,8294953936.155918
3,5103976370.465396
4,7924642856.111322
5,2155085976.342995
6,15052247733.55172
7,12862499767.12859
8,14699451401.701195
9,14270015238.973692
10,5186640337.272193
11,145894448.82279152
12,17292665424.41586
13,17933194552.133682
14,14948564282.584356
15,16493423849.441784
16,12261035582.88098
17,1161176040.076131
18,3461828170.7491183
19,3833685435.456072
20,7982992100.499413
21,5615333535.94642
22,4130250287.493081
23,241606922.55734864
24,329960716.0445364
