T   	x_agg               	z_agg
0   	1.94702552379300E+11	5.727941771558609E+7
1   	1.85939493997508E+11	6.586852908131918E+7
2   	1.77570838212212E+11	7.408871065578377E+7
3   	1.69578833982468E+11	8.203418368318781E+7
4   	1.61946529195782E+11	8.969939868279944E+7
5   	1.54657734710404E+11	9.713922323634839E+7
6   	1.47696990015991E+11	1.044115608969562E+8
7   	1.41049530439787E+11	1.115130282049615E+8
8   	1.34701255828778E+11	1.184401733500937E+8
9   	1.28638700641372E+11	1.251894747906643E+8
10  	1.22849005385184E+11	1.317653825292152E+8
11  	1.17319889340325E+11	1.381643937707880E+8
12  	1.12039624510351E+11	1.444272697468459E+8
13  	1.06997010745609E+11	1.505512603365737E+8
14  	1.02181351986219E+11	1.565335598439332E+8
15  	9.75824335742952E+10	1.623589741202083E+8
16  	9.31905005872894E+10	1.680584021808716E+8
17  	8.89962371464900E+10	1.736167180650090E+8
18  	8.49907466567957E+10	1.790310711181369E+8
19  	8.11655329358442E+10	1.842985530814075E+8
20  	7.75124821924701E+10	1.894252276548446E+8
21  	7.40238458162660E+10	1.944082503137722E+8
22  	7.06922239417411E+10	1.992447190911998E+8
23  	6.75105497522144E+10	2.039316734002598E+8
24  	6.44720744901489E+10	2.068907447359800E+8
25  	6.15703531421320E+10	2.113120470794908E+8
26  	5.87992307681378E+10	2.156179471947110E+8
27  	5.61528294460747E+10	2.198061138012849E+8
28  	5.36255358039238E+10	2.238873758646615E+8
29  	5.12119891130248E+10	2.278595737695822E+8
30  	4.89070699172514E+10	2.317205042735611E+8
31  	4.67058891739587E+10	2.354679196254992E+8
32  	4.46037778836683E+10	2.390995266663979E+8
33  	4.25962771864940E+10	2.425804887014425E+8
34  	4.06791289043027E+10	2.460273007410272E+8
35  	3.88482665085474E+10	2.494061192130843E+8
36  	3.70998064946148E+10	2.527155705604779E+8
37  	3.54300401443918E+10	2.559542534747947E+8
38  	3.38354256595765E+10	2.591207383388969E+8
39  	3.23125806490498E+10	2.622135666553702E+8
40  	3.08582749543696E+10	2.652312504631826E+8
41  	2.94694237981725E+10	2.681722717425067E+8
42  	2.81430812409467E+10	2.710350818075624E+8
43  	2.68764339322997E+10	2.738199674185450E+8
44  	2.56667951434651E+10	2.765253543975588E+8
45  	2.45115990683899E+10	2.791496367656659E+8
46  	2.34083953813169E+10	2.816911761009954E+8
47  	2.23548440393143E+10	2.841483008833611E+8
48  	2.13487103187314E+10	2.865193058256360E+8
49  	2.03878600750502E+10	2.888024511916215E+8
50  	1.94702552160784E+10	2.909959621001355E+8
51  	1.85939493788827E+10	2.930980278149425E+8
52  	1.77570838012923E+10	2.951068010210828E+8
53  	1.69578833792148E+10	2.970302487609906E+8
54  	1.61946529014028E+10	2.988666473461092E+8
55  	1.54657734536830E+10	3.006142382667702E+8
56  	1.47696989850229E+10	3.022712274888619E+8
57  	1.41049530281486E+10	3.038357847360042E+8
58  	1.34701255677602E+10	3.051517895577965E+8
59  	1.28638700497000E+10	3.065535502650108E+8
60  	1.22849005247310E+10	3.079157653098103E+8
61  	1.17319889208656E+10	3.092376349548298E+8
62  	1.12039624384608E+10	3.105183441674415E+8
63  	1.06997010625525E+10	3.117570614520494E+8
64  	1.02181351871540E+10	3.129529385138469E+8
65  	9.758243346477762E+9	3.141051099266678E+8
66  	9.319050048270092E+9	3.152380386771199E+8
67  	8.899623704660881E+9	3.163513360382697E+8
68  	8.499074656140992E+9	3.174446054297336E+8
69  	8.116553284475148E+9	3.185174422596534E+8
70  	7.751248210547715E+9	3.195694337628760E+8
71  	7.402384573318834E+9	3.206001588358331E+8
72  	7.069222386240262E+9	3.216091878681117E+8
73  	6.751054967644681E+9	3.225960825705872E+8
74  	6.447207441779140E+9	3.235603958000985E+8
75  	6.157035307303104E+9	3.245016713805777E+8
76  	5.879923070214695E+9	3.254194439205793E+8
77  	5.615282938305392E+9	3.263132386271177E+8
78  	5.362553574373944E+9	3.271825711157447E+8
79  	5.121198905554917E+9	3.280269472167990E+8
80  	4.890706986236259E+9	3.288458627777276E+8
81  	4.670588912154033E+9	3.296388034614488E+8
82  	4.460377783360908E+9	3.304052445405916E+8
83  	4.259627713868782E+9	3.311446506876205E+8
84  	4.067912885864815E+9	3.318564757606873E+8
85  	3.884826646494763E+9	3.325401625851718E+8
86  	3.709980645297742E+9	3.331951427307629E+8
87  	3.543004010462839E+9	3.338208362840284E+8
88  	3.383542562160277E+9	3.344166516163695E+8
89  	3.231258061278509E+9	3.349819851473510E+8
90  	3.085827491973711E+9	3.355162211033238E+8
91  	2.946942376509868E+9	3.360187312712064E+8
92  	2.814308120936144E+9	3.364888747472555E+8
93  	2.687643390213611E+9	3.369259976806719E+8
94  	2.566679511465902E+9	3.373294330119354E+8
95  	2.451159904088038E+9	3.376985002057869E+8
96  	2.340839535504549E+9	3.380325049788696E+8
97  	2.235484401422527E+9	3.383307390219759E+8
98  	2.134871029477162E+9	3.385924797168586E+8
