T/R 	1         	2         	3         	4         	5         	6         	7         	8         	9         	10        	11        	12        	13        	14        	15        	16        	17        	18        	19        	20        	21        	22        	23        	24        	25
0   	    0.0000136746	    0.0000145925	    0.0000096031	    0.0000300218	    0.0000437085	    0.0000177483	    0.0000195660	    0.0000259437	    0.0000536725	    0.0000945396	    0.0000408313	    0.0000128917	    0.0000435915	    0.0000435854	    0.0001732413	    0.0000917071	    0.0000799193	    0.0001213462	    0.0002318518	    0.0003166713	8.58911136237E+6	    0.0013429880	    0.0001313113	    0.0001355964	    0.0006159228
1   	    0.0000102546	    0.0000092074	    0.0000099970	    0.0000216812	    0.0000395952	    0.0000128195	    0.0000156679	    0.0000251893	    0.0000590053	    0.0001279342	    0.0000487201	    0.0000134408	    0.0000421359	    0.0000425348	    0.0003273479	    0.0001111305	    0.0001055678	    0.0001829978	    0.0003061926	    0.0007798311	5.24368136747E+6	1.11364200440E+6	    0.0002352968	7.16469897459E+5	1.14638830302E+6
2   	    0.0000096370	    0.0000082247	    0.0000104646	    0.0000214243	    0.0000412498	    0.0000113191	    0.0000155335	    0.0000262013	    0.0000671913	    0.0001510215	    0.0000554004	    0.0000140112	    0.0000445690	    0.0000454541	    0.0004732117	    0.0001246578	    0.0001280076	    0.0002693416	    0.0004788611	    0.0020002593	    0.0014662309	7.94547300319E+6	    0.0004022238	    0.0018431279	    0.0169889420
3   	    0.0000094984	    0.0000085139	    0.0000108465	    0.0000231669	    0.0000441872	    0.0000107540	    0.0000157781	    0.0000264997	    0.0000755254	    0.0002318425	    0.0000657648	    0.0000146391	    0.0000470039	    0.0000478576	    0.0028934681	    0.0001698058	    0.0001796068	    0.0006048225	    0.0016914330	4.40986267692E+6	    0.0006450088	3.25535230614E+6	    0.0010817865	    0.0011436716	    0.0081140322
4   	    0.0000094567	    0.0000092134	    0.0000112293	    0.0000248641	    0.0000460537	    0.0000103557	    0.0000160165	    0.0000268853	    0.0000815367	    0.0003132495	    0.0000749155	    0.0000151959	    0.0000492933	    0.0000500836	1.65785411399E+6	    0.0002069004	    0.0002301261	    0.0029673074	4.29350301028E+6	1.48846741790E+6	    0.0003372028	    0.0024444747	    0.0038476970	    0.0005328854	    0.0008266816
5   	    0.0000095254	    0.0000100293	    0.0000116337	    0.0000264678	    0.0000473809	    0.0000101533	    0.0000161951	    0.0000273939	    0.0000862442	    0.0003941764	    0.0000831393	    0.0000157215	    0.0000513949	    0.0000521041	7.27233763663E+6	    0.0002397988	    0.0002775512	    0.0046132774	    0.0092331270	    0.0022597778	    0.0002106702	    0.0006130312	    0.0059980163	    0.0002373700	    0.0003162738
6   	    0.0000097029	    0.0000107646	    0.0000120802	    0.0000278867	    0.0000488868	    0.0000100598	    0.0000163566	    0.0000281306	    0.0000926368	    0.0005390909	    0.0000932817	    0.0000163065	    0.0000539767	    0.0000546188	7.10146728380E+6	    0.0002854114	    0.0003530559	    0.0079909110	    0.0032373580	    0.0010918036	    0.0001572616	    0.0003458740	    0.0103688005	    0.0001688011	    0.0002259442
7   	    0.0000099489	    0.0000114028	    0.0000125570	    0.0000292595	    0.0000508547	    0.0000100626	    0.0000165323	    0.0000290718	    0.0001013404	    0.0009080734	    0.0001064540	    0.0000169620	    0.0000571108	    0.0000576765	6.92714509812E+6	    0.0003614399	    0.0004995886	    0.0184053419	    0.0019142474	    0.0007142179	    0.0001280196	    0.0002521974	    0.0242898133	    0.0001376007	    0.0001839293
8   	    0.0000102352	    0.0000119631	    0.0000130583	    0.0000306845	    0.0000534828	    0.0000101543	    0.0000167457	    0.0000302196	    0.0001123362	    0.0019511837	    0.0001243135	    0.0000176954	    0.0000610171	    0.0000614454	3.35297371427E+6	    0.0005705799	    0.0008374232	    0.1908323625	    0.0013739604	    0.0005240406	    0.0001095423	    0.0002058089	3.39632753084E+6	    0.0001188201	    0.0001568211
9   	    0.0000105071	    0.0000124224	    0.0000135591	    0.0000318897	    0.0000556489	    0.0000102910	    0.0000168873	    0.0000313920	    0.0001229723	    0.0004495640	    0.0001438049	    0.0000184367	    0.0000650600	    0.0000653316	    0.0305082290	    0.0007948565	    0.0008971877	    0.6040602449	    0.0010624560	    0.0003902021	    0.0000951653	    0.0001713722	6.57590710211E+6	    0.0001046463	    0.0001349451
10  	    0.0000108478	    0.0000129139	    0.0000140968	    0.0000335876	    0.0000590174	    0.0000106182	    0.0000171175	    0.0000328098	    0.0001381359	2.00729240118E+6	    0.0001741425	    0.0000193060	    0.0000701163	    0.0000702683	    0.0060922144	    0.0013861095	    0.0032641143	3.08201258066E+6	    0.0009625818	    0.0003338255	    0.0000861274	    0.0001527961	1.30970625542E+6	    0.0000988619	    0.0001244564
11  	    0.0000111210	    0.0000132830	    0.0000146011	    0.0000347318	    0.0000615263	    0.0000109597	    0.0000173054	    0.0000341108	    0.0001495644	6.26287597095E+6	    0.0001981320	    0.0000200873	    0.0000744261	    0.0000744652	    0.0019816860	    0.0016596935	    0.0045716201	    0.0032637290	    0.0005837336	    0.0002533520	    0.0000766579	    0.0001307330	    0.0036044410	    0.0000876804	    0.0001076159
