T   	x_agg
0   	1.942749507396796E+5
1   	1.936275731362278E+5
2   	1.932242379696777E+5
3   	1.929959739197877E+5
4   	1.928964760797119E+5
5   	1.928714478427565E+5
6   	1.929013837541134E+5
7   	1.929847596481932E+5
8   	1.931108244003797E+5
9   	1.932800899302388E+5
10  	1.934960866365832E+5
11  	1.937526231278418E+5
12  	1.940395493600956E+5
13  	1.943480569854887E+5
14  	1.946746155962299E+5
15  	1.950158019751885E+5
16  	1.953682942265587E+5
17  	1.957193025008998E+5
18  	1.960675052587510E+5
19  	1.964116123904664E+5
20  	1.967503632347916E+5
21  	1.970825246751559E+5
22  	1.974068893099450E+5
23  	1.977222736931905E+5
24  	1.980275166422627E+5
25  	1.983214776093052E+5
26  	1.986050465637910E+5
27  	1.988782898317630E+5
28  	1.991412626353629E+5
29  	1.993940094278910E+5
30  	1.996365642104108E+5
31  	1.998689508306598E+5
32  	2.000911832649401E+5
33  	2.003034135920930E+5
34  	2.005060919810483E+5
35  	2.006996483398433E+5
36  	2.008844932274657E+5
37  	2.010610187247050E+5
38  	2.012295992658086E+5
39  	2.013905924327063E+5
40  	2.015443397134904E+5
41  	2.016911672267568E+5
42  	2.018313864133470E+5
43  	2.019652946969557E+5
44  	2.020931761150060E+5
45  	2.022153019211311E+5
46  	2.023319311605399E+5
47  	2.024433112194861E+5
48  	2.025496783500079E+5
49  	2.026512581710503E+5
50  	2.027482661470330E+5
51  	2.028409080448794E+5
52  	2.029293803704757E+5
53  	2.030138707854862E+5
54  	2.030945585054093E+5
55  	2.031716146797172E+5
56  	2.032452027548866E+5
57  	2.033154788210914E+5
58  	2.033825919432903E+5
59  	2.034466844774135E+5
60  	2.035078923723190E+5
61  	2.035663454581585E+5
62  	2.036221677217639E+5
63  	2.036754775696409E+5
64  	2.037263880791242E+5
65  	2.037750072382301E+5
66  	2.038214381747139E+5
67  	2.038657793748168E+5
68  	2.039081248921694E+5
69  	2.039485645472915E+5
70  	2.039871841181135E+5
71  	2.040240655219229E+5
72  	2.040592869891222E+5
73  	2.040929232291656E+5
74  	2.041250455890278E+5
75  	2.041557222045410E+5
76  	2.041850181449197E+5
77  	2.042129955507812E+5
78  	2.042397137659544E+5
79  	2.042652294633559E+5
80  	2.042895967652010E+5
81  	2.043128673578039E+5
82  	2.043350906012114E+5
83  	2.043563136339023E+5
84  	2.043765814727746E+5
85  	2.043959371086318E+5
86  	2.044144215973727E+5
87  	2.044320741470763E+5
88  	2.044489322011672E+5
89  	2.044650315178383E+5
90  	2.044804062458988E+5
91  	2.044950889972084E+5
92  	2.045091109158510E+5
93  	2.045225017441961E+5
94  	2.045352898859861E+5
95  	2.045475024665842E+5
96  	2.045591653905113E+5
97  	2.045703033963926E+5
98  	2.045809401094321E+5
99  	2.045910980915242E+5
100 	2.046007988891108E+5
101 	2.046100630788842E+5
102 	2.046189103114331E+5
103 	2.046273593529238E+5
104 	2.046354281249061E+5
105 	2.046431337423273E+5
106 	2.046504925498351E+5
