T/R 	1         	2         	3         	4         	5         	6         	7         	8         	9         	10        	11        	12        	13        	14        	15        	16        	17        	18        	19        	20        	21        	22        	23        	24        	25
0   	  577.0929401000	 5589.1851810000	7.87674082800E+5	 9646.8617450000	1.28634503100E+5	16248.6536900000	77127.0595800000	4.13615375900E+5	1.41563731100E+6	2.97549040300E+6	7.91141024600E+6	3.11951500100E+5	4.91859804100E+5	5.48889538300E+5	1.19367249300E+6	1.41661797700E+6	6.05514367900E+6	6.74644201500E+6	84410.4902500000	2.44820052600E+6	7.38590341600E+6	8.45649923900E+6	5.22554843200E+6	8.60690504900E+5	2.31193732600E+6
1   	  577.0928895671	 5589.1851282913	7.87674082772E+5	 9646.8617672403	1.28634503137E+5	16248.6536837289	77127.0595835561	4.13615375918E+5	1.41563731105E+6	2.97549040309E+6	7.91141024603E+6	3.11951500103E+5	4.91859804137E+5	5.48889538337E+5	1.19367249317E+6	1.41661797709E+6	6.05514367907E+6	6.74644201511E+6	84410.4904762710	2.44820052631E+6	1.59750147784E+7	8.45649924034E+6	5.22554843213E+6	8.60690505029E+5	2.31193732661E+6
2   	  577.0928092747	 5589.1850477538	7.87674082736E+5	 9646.8617806375	1.28634503170E+5	16248.6536687863	77127.0595814949	4.13615375935E+5	1.41563731110E+6	2.97549040321E+6	7.91141024608E+6	3.11951500107E+5	4.91859804172E+5	5.48889538373E+5	1.19367249349E+6	1.41661797719E+6	6.05514367917E+6	6.74644201529E+6	84410.4907765052	2.44820052708E+6	2.12186961458E+7	9.57014124473E+6	5.22554843235E+6	1.57716040248E+6	3.45832562962E+6
3   	  577.0926975111	 5589.1849424859	7.87674082692E+5	 9646.8617933372	1.28634503203E+5	16248.6536488876	77127.0595777554	4.13615375952E+5	1.41563731116E+6	2.97549040336E+6	7.91141024612E+6	3.11951500110E+5	4.91859804210E+5	5.48889538411E+5	1.19367249396E+6	1.41661797731E+6	6.05514367930E+6	6.74644201555E+6	84410.4912490458	2.44820052908E+6	2.12186961473E+7	1.75156142479E+7	5.22554843275E+6	1.57716040432E+6	3.45832564661E+6
4   	  577.0925297564	 5589.1847977832	7.87674082636E+5	 9646.8618073364	1.28634503240E+5	16248.6536244973	77127.0595725845	4.13615375969E+5	1.41563731123E+6	2.97549040358E+6	7.91141024618E+6	3.11951500113E+5	4.91859804249E+5	5.48889538451E+5	1.19367249684E+6	1.41661797747E+6	6.05514367947E+6	6.74644201615E+6	84410.4929337973	6.85806320599E+6	2.12186961479E+7	2.07709665540E+7	5.22554843383E+6	1.57716040545E+6	3.45832565471E+6
5   	  577.0922891600	 5589.1846066782	7.87674082568E+5	 9646.8618226216	1.28634503278E+5	16248.6535960057	77127.0595660794	4.13615375986E+5	1.41563731130E+6	2.97549040389E+6	7.91141024625E+6	3.11951500116E+5	4.91859804291E+5	5.48889538494E+5	2.85152661082E+6	1.41661797767E+6	6.05514367969E+6	6.74644201911E+6	4.37791350321E+6	8.34653062388E+6	2.12186961483E+7	2.07709665565E+7	5.22554843767E+6	1.57716040598E+6	3.45832565553E+6
6   	  577.0919895572	 5589.1843809888	7.87674082491E+5	 9646.8618391192	1.28634503317E+5	16248.6535641257	77127.0595583505	4.13615376003E+5	1.41563731138E+6	2.97549040427E+6	7.91141024633E+6	3.11951500119E+5	4.91859804334E+5	5.48889538538E+5	1.01238642474E+7	1.41661797790E+6	6.05514367996E+6	6.74644202372E+6	4.37791351243E+6	8.34653062614E+6	2.12186961485E+7	2.07709665571E+7	5.22554844366E+6	1.57716040621E+6	3.45832565584E+6
7   	  577.0916013470	 5589.1841045847	7.87674082402E+5	 9646.8618566212	1.28634503357E+5	16248.6535285728	77127.0595492449	4.13615376020E+5	1.41563731147E+6	2.97549040481E+6	7.91141024641E+6	3.11951500122E+5	4.91859804379E+5	5.48889538584E+5	1.72253315312E+7	1.41661797818E+6	6.05514368031E+6	6.74644203170E+6	4.37791351566E+6	8.34653062722E+6	2.12186961486E+7	2.07709665574E+7	5.22554845402E+6	1.57716040637E+6	3.45832565605E+6
8   	  577.0910661772	 5589.1837457589	7.87674082297E+5	 9646.8618750568	1.28634503398E+5	16248.6534889452	77127.0595386185	4.13615376038E+5	1.41563731156E+6	2.97549040571E+6	7.91141024651E+6	3.11951500125E+5	4.91859804427E+5	5.48889538633E+5	2.41524766293E+7	1.41661797854E+6	6.05514368080E+6	6.74644205009E+6	4.37791351757E+6	8.34653062793E+6	2.12186961487E+7	2.07709665577E+7	5.22554847830E+6	1.57716040649E+6	3.45832565623E+6
9   	  577.0902427974	 5589.1832247719	7.87674082169E+5	 9646.8618944520	1.28634503442E+5	16248.6534446959	77127.0595263160	4.13615376057E+5	1.41563731166E+6	2.97549040765E+6	7.91141024662E+6	3.11951500128E+5	4.91859804479E+5	5.48889538685E+5	2.75054503436E+7	1.41661797910E+6	6.05514368163E+6	6.74644224092E+6	4.37791351893E+6	8.34653062844E+6	2.12186961488E+7	2.07709665579E+7	8.62187600913E+6	1.57716040660E+6	3.45832565638E+6
